CSG_HOUSEKEY,Transaction_Type,Transaction_Date,Transaction_Result,Order__c,CSG_CABLE_SERV_STATUS,CSG_INTERNET_SERV_STATUS,CSG_PHONE_SERV_STATUS,CSG_SECURITY_SERV_STATUS,CSG_CABLE_SERV_DATE,CSG_INTERNET_SERV_DATE,CSG_PHONE_SERV_DATE,CSG_SECURITY_SERV_DATE,CSG_DROP_TYPE,CSG_VIDEO_TAP_STATUS,ELOC_CUSTOMFIELD1,JT_DBIG_CODE,CSG_DROP_STATUS,CSG_DWELL_TYPE,CSG_DWELL_CATEGORY,CSG_DWELL_SUBCATEGORY,CSG_HOUSE_STATUS,ELOC_ESLAM_PLG,HBB_COUNT,PBB_COUNT,MIP_TOTAL_EST_QB_COAX,MIP_TOTAL_BUSINESSES_IN_SMB,COSTAR_PROPERTY_TYPE,COSTAR_PROPERTY_SUBTYPE,COSTAR_MALL,COSTAR_RENTABLE_BUILDING_AREA,COSTAR_TYPICAL_FLOOR_SIZE,COSTAR_NUMBER_OF_STORIES,COSTAR_YEAR_BUILT,YEAR_RENOVATED,COSTAR_TENANTS,TAP_DROP_TYPE,TAP_NUM_PORTS,MIP_BUILDING_LAT_LONG_CODE,IQ_ROUTE_COST_COAX,MIP_BUILDING_TYPE,MIP_IN_PROBUILD,BLDG_CABLE_SERV_STATUS,BLDG_INTERNET_SERV_STATUS,BLDG_PHONE_SERV_STATUS,BLDG_SECURITY_SERV_STATUS,BLDG_DROPSTATUS,Master_HKSvc,Master_BldgBilling,Master_HKSvcPost12_22_13,Master_ResiHK,Master_RecentRTISurvey,Master_BldgService,Master_RecentRTIPIV,Master_ValidECF1Const,Master_PlantNearParcel,Master_JTConstruction,Const_RecentDOIFNoConst,Const_ConstSurveyNoConst,Const_U32PIVNoConst,Const_FiberOnlyBldg,Const_HouseStatusMY,Const_HouseStatusMZ,Const_NeverSvcBldg,Green_ActiveSuiteCoax,Green_ActiveSuiteMultiPlusVideo,Green_SvcResiHK,Green_SuiteBilling,Green_ProBuildConstWithROE,Green_AerialDrop150Ft,Green_PlantOnParcel,PIV_SuiteFiber,PIV_SuiteMultiNoVideo,PIV_SuiteNonStandardSurvey,PIV_ProBuildConstNoROE,PIV_NeverSvcSuite,PIV_PLG,PIV_RFOG,PIV_LargeSingleTenant,PIV_LargeMultiTenant,PIV_MallSuiteNoRTI,PIV_HardDisco
9.46E+13,Install,12/5/2017,Complete,a0V1H00000E1ANTUA3,S,S,S,S,4/19/2010,4/19/2010,4/19/2010,2/24/2017,COAX ,1, ,NULL,1,CP,COMMERCIAL,BUSINESS,G2,PLGC0917,0,0,1,0,Industrial,Warehouse,0,17851,17851,1,0,0,1,NULL,NULL,CoStar,770.54,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/6/2017,Complete,a0V1H00000E1G92UAF,S,S,S,S,11/24/2009,11/24/2009,11/24/2009,2/24/2017,COAX,1, ,NULL,1,CP,COMMERCIAL,BUSINESS,G2, ,0,1,1,1,Retail,Auto Repair,0,1707,1707,1,1946,0,1,NULL,NULL,CoStar,291.77,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,DOIF,2/14/2018,Construction Issue,a0V1200000BjSs5EAF,S,S,S,S,3/14/2003,8/13/2005,5/5/2006,1/26/2016,COAX ,0,J01243655,NULL,0,AA,RESIDENTIAL,SINGLE FAMILY,G2, ,0,0,1,0,Retail,Freestanding,0,3300,3300,1,1935,0,1,NULL,NULL,CoStar,980.64,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/5/2017,Complete,a0V1H00000E1CbRUAV,S,S,S,S,10/1/1998,8/13/2005,11/17/2006,1/26/2016,COAX ,0, ,NULL,0,AA,RESIDENTIAL,SINGLE FAMILY,G2, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,1485.18,RESIDENTIAL,0,1,2,2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/5/2017,Complete,a0V1H00000E1CbRUAV,N,S,S,S,5/20/2015,5/20/2015,5/20/2015,3/13/2017,COAX ,0,F05217975,NULL,1,HA,COMMERCIAL,BUSINESS,GN, ,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,1485.18,RESIDENTIAL,0,1,2,2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/7/2017,Complete,a0V1H00000E0ofLUAR,S,S,S,S,10/7/2011,10/7/2011,10/7/2011,2/24/2017,COAX ,3, ,NULL,3,CP,COMMERCIAL,BUSINESS,G2, ,0,1,1,1,Retail,Auto Repair,0,16000,16000,2,1920,0,1,NULL,NULL,CoStar,0,COMMERCIAL,0,1,1,1,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/5/2017,Complete,a0V1H00000DOA0fUAH,S,S,S,S,11/21/2012,11/21/2012,11/21/2012,2/24/2017,COAX ,0,C11109262,NULL,0,CP,COMMERCIAL,BUSINESS,G2, ,0,0,29,24,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,S8HPNTSCZA,880.84,COMMERCIAL,0,97,97,97,97,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,Install,12/5/2017,Complete,a0V1H00000BPrtZUAT,S,S,S,S,5/28/2015,5/28/2015,5/28/2015,2/24/2017,FIBER,0,F05214157,NULL,0,CP,COMMERCIAL,BUSINESS,EN, ,0,1,1,1,Office,,0,6328,6328,1,1939,0,1,NULL,NULL,CoStar,0,COMMERCIAL,0,1,1,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,DOIF,1/17/2018,Construction Issue,a0V1H00000E3e3DUAR,S,S,S,S,5/17/2007,5/17/2007,12/17/2013,2/24/2017,COAX ,0, ,NULL,1,CP,COMMERCIAL,BUSINESS,G2, ,0,0,1,0,Office,,0,18000,9000,2,1915,0,1,NULL,NULL,CoStar,829.51,COMMERCIAL,0,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9.46E+13,DOIF,1/11/2018,Construction Issue,a0V1H00000E3ViHUAV,S,S,S,S,8/20/2013,8/20/2013,8/20/2013,2/24/2017,COAX ,0,D05114172,NULL,0,CP,COMMERCIAL,BUSINESS,G2,PLGC0917,0,2,58,52,Office,,0,93900,10433,9,1965,1990,1,NULL,NULL,CoStar,5862.03,COMMERCIAL,0,75,75,75,75,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
